City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Langham,CA,52.3668,-106.9679,80.44,24,26,13.51,scattered clouds
81,Yongchang,CN,30.0381,119.7317,76.59,94,100,11.14,light rain
82,Thompson,CA,55.7435,-97.8558,60.96,94,90,8.05,overcast clouds
83,Plettenberg Bay,ZA,-34.0527,23.3716,52.18,38,7,6.08,clear sky
84,Puerto Ayora,EC,-0.7393,-90.3518,72.55,84,6,7.0,clear sky
85,Gland,CH,46.4208,6.2701,68.07,92,100,1.83,overcast clouds
86,Ribeira Grande,PT,38.5167,-28.7,70.2,91,11,10.51,few clouds
87,Port Blair,IN,11.6667,92.75,82.44,89,75,11.5,mist
88,Lompoc,US,34.6391,-120.4579,81.12,76,75,14.97,broken clouds
89,Rolante,BR,-29.6506,-50.5758,69.35,60,41,4.61,scattered clouds
90,Necochea,AR,-38.5473,-58.7368,49.03,87,100,12.46,light rain
91,Codrington,AU,-38.2667,141.9667,48.22,80,100,17.74,overcast clouds
92,Egvekinot,RU,66.3167,-179.1667,50.0,85,100,4.56,overcast clouds
93,Dingle,PH,10.9995,122.6711,85.64,71,73,18.19,broken clouds
94,Lubao,PH,14.9167,120.55,78.87,85,100,15.35,moderate rain
95,Tarko-Sale,RU,64.9225,77.785,56.21,91,100,9.55,overcast clouds
96,Port Alfred,ZA,-33.5906,26.891,53.44,47,1,10.29,clear sky
97,Gilgit,PK,35.9221,74.3087,87.71,38,11,1.07,few clouds
98,Ahuimanu,US,21.4447,-157.8378,91.11,68,75,14.97,light rain
99,Cabo San Lucas,MX,22.8909,-109.9124,91.81,68,51,8.99,broken clouds
100,Anchorage,US,61.2181,-149.9003,64.85,82,90,1.01,shower rain
101,Talnakh,RU,69.4865,88.3972,49.1,91,100,4.85,moderate rain
102,Bethel,US,41.3712,-73.414,72.72,77,97,5.95,overcast clouds
103,Emerald,AU,-23.5333,148.1667,69.35,34,0,12.66,clear sky
104,Qaanaaq,GL,77.484,-69.3632,39.13,66,100,3.76,overcast clouds
105,Mar Del Plata,AR,-38.0023,-57.5575,52.12,60,90,10.0,light intensity drizzle
106,Kaitangata,NZ,-46.2817,169.8464,49.93,62,94,9.44,overcast clouds
107,Manikling,PH,6.8791,126.0606,87.71,66,85,5.68,overcast clouds
108,Torbay,CA,47.6666,-52.7314,58.57,89,90,13.8,overcast clouds
109,Pisco,PE,-13.7,-76.2167,62.65,77,40,12.66,scattered clouds
110,Sfantu Gheorghe,RO,45.8667,25.7833,56.93,79,4,2.86,clear sky
111,Galveston,US,29.3669,-94.9669,89.71,83,1,1.01,clear sky
112,Barrow,US,71.2906,-156.7887,42.82,81,90,5.75,light rain
113,Panjab,AF,34.388,67.0233,60.08,33,0,5.46,clear sky
114,Iranshahr,IR,27.2025,60.6848,92.55,33,4,3.56,clear sky
115,Vestmannaeyjar,IS,63.4427,-20.2734,51.13,81,54,11.81,broken clouds
116,Chokurdakh,RU,70.6333,147.9167,52.05,49,85,13.53,overcast clouds
117,Karakol,KG,42.4907,78.3936,74.34,21,0,2.8,clear sky
118,San Policarpo,PH,12.1791,125.5072,89.51,57,100,12.59,overcast clouds
119,Kingman,US,35.1894,-114.053,89.08,45,1,8.05,clear sky
120,Dubova,RO,44.6167,22.2667,62.44,76,0,3.09,clear sky
121,Srednekolymsk,RU,67.45,153.6833,62.42,42,100,13.69,overcast clouds
122,Lubawa,PL,53.5043,19.7497,63.48,77,90,7.43,overcast clouds
123,Taoudenni,ML,22.6783,-3.9836,96.24,8,5,12.17,clear sky
124,Lavrentiya,RU,65.5833,-171.0,44.87,98,100,11.63,light rain
125,Aklavik,CA,68.2191,-135.0107,72.43,52,83,12.21,broken clouds
126,Conde,BR,-7.2597,-34.9075,71.06,94,20,6.91,few clouds
127,Hangal,IN,14.7667,75.1333,72.59,92,96,10.87,overcast clouds
128,Fortuna,US,40.5982,-124.1573,62.85,85,90,1.99,overcast clouds
129,Hithadhoo,MV,-0.6,73.0833,81.84,77,88,10.2,overcast clouds
130,Lasa,IT,46.6166,10.7002,68.88,95,82,3.31,broken clouds
131,Lingao,CN,19.9103,109.6859,85.96,71,25,3.18,scattered clouds
132,Talladega,US,33.4359,-86.1058,82.31,94,1,0.0,mist
133,Road Town,VG,18.4167,-64.6167,80.2,83,95,20.74,overcast clouds
134,Bardiyah,LY,31.7561,25.0865,76.01,68,0,12.44,clear sky
135,The Valley,AI,18.217,-63.0578,82.26,84,100,20.4,overcast clouds
136,Yerbogachen,RU,61.2767,108.0108,76.84,42,59,5.75,broken clouds
137,Murdochville,CA,48.9583,-65.5006,54.48,95,0,5.57,clear sky
138,Carnarvon,AU,-24.8667,113.6333,62.67,58,90,11.5,overcast clouds
